Front,Back
What is the definition of forensic science?,The application of scientific methods and techniques to investigate crimes and establish facts in legal proceedings. [cite: 51]
When did digital forensics begin to evolve from traditional forensics?,From the 1980s onwards. [cite: 58]
What does the "Locard's Exchange Principle" state in the digital domain?,"Every contact leaves a trace." [cite: 77]
What are the "big five W's" that digital forensics aims to answer?,What where when who and how. [cite: 83-88]
What are the three fundamental principles of most digital investigations?,Digital evidence digital forensics tools and the scientific method. [cite: 91-94]
How is digital evidence defined?,Any digital information that is stored transmitted or produced from electronic devices and/or software. [cite: 97]
Name three examples of digital evidence artifacts.,"Chat/Email, Pictures/Video, and Location Data." [cite: 100-102]
What does the term "click monkeys" refer to in the context of forensic tools?,Investigators who use tools without understanding the underlying technology or how data is processed. [cite: 111-112]
What are the three simple steps of the scientific methodology used in forensics?,Observing collecting data and facts and building a hypothesis. [cite: 128-131]
What happens if there is no scientific reason to explain a forensic procedure?,The credibility of the analysis is undermined and the evidence is considered unreliable for court. [cite: 140]
What are the three broad categories of data types?,Active hidden and archival. [cite: 153]
What is "active data"?,Data used every day that the operating system tracks and resides in allocated drive space. [cite: 159-161]
Define "archival data".,Data organized and preserved for long-term storage to avoid loss from attacks or disasters. [cite: 171]
What is "latent data"?,Data that has been deleted or partially overwritten and is no longer tracked by the OS. [cite: 177-178]
What is required to collect latent data?,A bit stream or forensic image. [cite: 180]
What are the three specific types of hidden data?,Metadata residual data and replicant data. [cite: 186-189]
How is "metadata" defined?,"Data about data" used to provide context like file creation dates or structure. [cite: 195]
In the BTK killer case what specific data led to his arrest?,Word document metadata found on a floppy disk. [cite: 200]
What is "residual data"?,Deleted data that might still exist on a disk but is invisible to the standard directory list. [cite: 205]
Why might residual data be hard to reach?,If the storage location has been overwritten with new data. [cite: 206]
What is "replicant data"?,A temporary copy of an opened file created by a program to avoid data loss. [cite: 214]
Give an example of replicant data.,Web cache or temporary directories. [cite: 217-218]
What is "volatile data"?,Data that is lost as soon as the device is powered off. [cite: 236]
Name three examples of volatile data.,"System time, network information, and clipboard contents." [cite: 237]
What is "non-volatile data"?,Permanent data stored on secondary storage devices like hard disks or memory cards. [cite: 240]
What is "slack space"?,The unused space at the end of a file in a cluster. [cite: 1514]
Name three sources of user-created digital evidence.,"Address books, database files, and media files." [cite: 273-275]
What are "user-protected files"?,Files hidden by the user through compression encryption passwords or steganography. [cite: 278-283]
Name three types of computer-created files found as evidence.,"Log files, cookies, and swap files." [cite: 285-289]
Where can potential evidence be found on a printer?,"Usage logs, network identity info, ink cartridges, and time stamps." [cite: 302]
What can be found on a scanner glass that serves as evidence?,Marks on the glass of the scanner. [cite: 306]
What are the five basic rules of evidence for court admissibility?,Understandable admissible authentic reliable and complete. [cite: 310-327]
